relation_index,source,target,type,strength,evidence,evidence_level,ai_pre_review_status,clinician_decision,clinician_id,clinician_role,review_date,rationale,approved_wording,forbidden_wording,signoff
311,disease:chronic_kidney_disease,evidence_source:chronic_kidney_disease_curated_01,supportive_evidence,high,registry:chronic_kidney_disease_curated_01#慢性肾脏病老年人证据摘要：定义与持续时间,authoritative_guidance,,,,,,,,,
312,disease:chronic_kidney_disease,evidence_source:chronic_kidney_disease_curated_02,supportive_evidence,high,registry:chronic_kidney_disease_curated_02#慢性肾脏病老年人证据摘要：eGFR与肌酐,professional_guideline,,,,,,,,,
316,disease:chronic_kidney_disease,evidence_source:chronic_kidney_disease_curated_06,supportive_evidence,high,registry:chronic_kidney_disease_curated_06#慢性肾脏病老年人证据摘要：系统综述与预测因素,professional_statement,,,,,,,,,
317,disease:chronic_kidney_disease,evidence_source:chronic_kidney_disease_curated_07,supportive_evidence,high,registry:chronic_kidney_disease_curated_07#慢性肾脏病老年人证据摘要：关键随机试验,authoritative_guidance,,,,,,,,,
318,disease:frailty,evidence_source:frailty_curated_01,supportive_evidence,high,registry:frailty_curated_01#老年衰弱与跌倒风险老年人证据摘要：衰弱识别,authoritative_guidance,,,,,,,,,
319,disease:frailty,evidence_source:frailty_curated_02,supportive_evidence,high,registry:frailty_curated_02#老年衰弱与跌倒风险老年人证据摘要：握力与功能,professional_guideline,,,,,,,,,
323,disease:frailty,evidence_source:frailty_curated_06,supportive_evidence,high,registry:frailty_curated_06#老年衰弱与跌倒风险老年人证据摘要：系统综述与预测因素,professional_statement,,,,,,,,,
324,disease:frailty,evidence_source:frailty_curated_07,supportive_evidence,high,registry:frailty_curated_07#老年衰弱与跌倒风险老年人证据摘要：关键随机试验,authoritative_guidance,,,,,,,,,
325,disease:hypertension,evidence_source:who_hypertension_2025_guidance,supportive_evidence,high,registry:who_hypertension_2025_guidance#高血压：WHO事实表与管理原则,authoritative_guidance,,,,,,,,,
328,disease:diabetes,evidence_source:ada_older_adults_2025_guidance,supportive_evidence,high,registry:ada_older_adults_2025_guidance#ADA老年糖尿病标准：功能、低血糖与个体化管理,professional_guideline,,,,,,,,,
331,disease:heart_disease,evidence_source:who_cvd_2025_guidance,supportive_evidence,high,registry:who_cvd_2025_guidance#WHO心血管疾病事实表与共同危险因素框架,authoritative_guidance,,,,,,,,,
334,disease:stroke,evidence_source:aha_asa_stroke_2024_guidance,supportive_evidence,high,registry:aha_asa_stroke_2024_guidance#AHA/ASA卒中一级预防指南要点,professional_guideline,,,,,,,,,
337,disease:chronic_kidney_disease,evidence_source:kdigo_ckd_2024_guidance,supportive_evidence,high,registry:kdigo_ckd_2024_guidance#KDIGO慢性肾脏病评估与管理指南,authoritative_guidance,,,,,,,,,
340,disease:frailty,evidence_source:who_ageing_2024_frailty_guidance,supportive_evidence,high,registry:who_ageing_2024_frailty_guidance#WHO老龄化与健康：功能和衰弱安全框架,authoritative_guidance,,,,,,,,,
343,disease:hypertension,risk_factor:high_salt_diet,has_risk_factor,high,who_hypertension_2025.md#危险因素,authoritative_guidance,,,,,,,,,
344,disease:hypertension,risk_factor:physical_inactivity,has_risk_factor,high,who_hypertension_2025.md#危险因素,authoritative_guidance,,,,,,,,,
345,disease:hypertension,risk_factor:obesity,has_risk_factor,high,who_hypertension_2025.md#危险因素,authoritative_guidance,,,,,,,,,
346,disease:hypertension,risk_factor:tobacco,has_risk_factor,high,who_hypertension_2025.md#危险因素,authoritative_guidance,,,,,,,,,
347,disease:hypertension,risk_factor:alcohol,has_risk_factor,high,who_hypertension_2025.md#危险因素,authoritative_guidance,,,,,,,,,
348,disease:hypertension,risk_factor:age_over_65,has_nonmodifiable_factor,high,who_hypertension_2025.md#危险因素,authoritative_guidance,,,,,,,,,
349,disease:hypertension,metric:bp,measured_by,high,who_hypertension_2025.md#识别与复测,authoritative_guidance,,,,,,,,,
351,disease:hypertension,disease:heart_disease,increases_risk_of,high,who_hypertension_2025.md#并发症,authoritative_guidance,,,,,,,,,
352,disease:hypertension,disease:stroke,increases_risk_of,high,who_hypertension_2025.md#并发症,authoritative_guidance,,,,,,,,,
353,disease:hypertension,disease:chronic_kidney_disease,increases_risk_of,high,who_hypertension_2025.md#并发症,authoritative_guidance,,,,,,,,,
354,disease:hypertension,intervention:home_bp_remeasurement,managed_by,high,who_hypertension_2025.md#识别与复测,authoritative_guidance,,,,,,,,,
355,disease:hypertension,intervention:salt_reduction,managed_by,high,who_hypertension_2025.md#生活方式干预,authoritative_guidance,,,,,,,,,
356,disease:hypertension,intervention:regular_activity,managed_by,high,who_hypertension_2025.md#生活方式干预,authoritative_guidance,,,,,,,,,
357,disease:diabetes,risk_factor:obesity,has_risk_factor,high,who_diabetes_2024.md#2型糖尿病,authoritative_guidance,,,,,,,,,
358,disease:diabetes,risk_factor:physical_inactivity,has_risk_factor,high,who_diabetes_2024.md#预防,public_guidance,,,,,,,,,
360,disease:diabetes,metric:glucose,measured_by,high,who_diabetes_2024.md#诊断与治疗,public_guidance,,,,,,,,,
361,disease:diabetes,metric:hba1c,measured_by,high,ada_older_adults_2025.md#综合评估,public_guidance,,,,,,,,,
362,disease:diabetes,disease:heart_disease,increases_risk_of,high,who_diabetes_2024.md#长期影响,public_guidance,,,,,,,,,
363,disease:diabetes,disease:stroke,increases_risk_of,high,who_diabetes_2024.md#长期影响,public_guidance,,,,,,,,,
364,disease:diabetes,disease:chronic_kidney_disease,increases_risk_of,high,who_diabetes_2024.md#长期影响,public_guidance,,,,,,,,,
365,disease:diabetes,intervention:healthy_diet,managed_by,high,ada_older_adults_2025.md#生活方式,public_guidance,,,,,,,,,
366,disease:diabetes,intervention:regular_activity,managed_by,high,ada_older_adults_2025.md#生活方式,public_guidance,,,,,,,,,
367,disease:diabetes,intervention:annual_complication_screening,managed_by,high,ada_older_adults_2025.md#老年人综合评估,professional_guideline,,,,,,,,,
368,disease:heart_disease,risk_factor:high_bp,has_risk_factor,high,who_cvd_2025.md#风险因素,public_guidance,,,,,,,,,
369,disease:heart_disease,risk_factor:high_glucose,has_risk_factor,high,who_cvd_2025.md#风险因素,public_guidance,,,,,,,,,
370,disease:heart_disease,risk_factor:high_lipids,has_risk_factor,high,who_cvd_2025.md#风险因素,public_guidance,,,,,,,,,
371,disease:heart_disease,risk_factor:tobacco,has_risk_factor,high,who_cvd_2025.md#风险因素,public_guidance,,,,,,,,,
373,disease:stroke,disease:hypertension,major_preventable_driver,high,aha_stroke_prevention_2024.md#血压管理,public_guidance,,,,,,,,,
374,disease:stroke,risk_factor:sedentary_behavior,has_risk_factor,high,aha_stroke_prevention_2024.md#身体活动,public_guidance,,,,,,,,,
375,disease:stroke,risk_factor:unhealthy_diet,has_risk_factor,high,aha_stroke_prevention_2024.md#饮食模式,professional_guideline,,,,,,,,,
377,disease:stroke,symptom:face_arm_speech_emergency,urgent_signal,high,cardiovascular.md#危险信号,public_guidance,,,,,,,,,
380,intervention:mediterranean_diet,disease:stroke,prevention_evidence,moderate,aha_stroke_prevention_2024.md#饮食模式,professional_guideline,,,,,,,,,
381,intervention:lifestyle_program,disease:diabetes,prevention_evidence,high,dpp_2002.md#试验结论,public_guidance,,,,,,,,,
383,metric:bp,disease:stroke,monitoring_signal,high,aha_stroke_prevention_2024.md#血压管理,public_guidance,,,,,,,,,
384,intervention:mediterranean_diet,disease:heart_disease,prevention_evidence,moderate,predimed_2018.md#试验要点,randomized_trial,,,,,,,,,
385,intervention:mediterranean_diet,disease:stroke,prevention_evidence,moderate,predimed_2018.md#试验要点,randomized_trial,,,,,,,,,
392,disease:chronic_kidney_disease,metric:egfr,measured_by,high,kdigo_ckd_2024.md#评估与复测,authoritative_guidance,,,,,,,,,
393,disease:chronic_kidney_disease,metric:creatinine,measured_by,high,kdigo_ckd_2024.md#评估与复测,authoritative_guidance,,,,,,,,,
394,disease:chronic_kidney_disease,metric:urine_albumin,measured_by,high,kdigo_ckd_2024.md#评估与复测,authoritative_guidance,,,,,,,,,
395,disease:chronic_kidney_disease,disease:hypertension,coexists_with,high,kdigo_ckd_2024.md#血压与共病,authoritative_guidance,,,,,,,,,
396,disease:chronic_kidney_disease,disease:diabetes,coexists_with,high,kdigo_ckd_2024.md#血压与共病,authoritative_guidance,,,,,,,,,
398,disease:chronic_kidney_disease,risk_factor:polypharmacy,requires_clinician_review,high,kdigo_ckd_2024.md#老年人安全边界,authoritative_guidance,,,,,,,,,
399,metric:bp,disease:chronic_kidney_disease,monitoring_signal,high,kdigo_ckd_2024.md#血压与共病,authoritative_guidance,,,,,,,,,
400,metric:glucose,disease:chronic_kidney_disease,monitoring_signal,high,kdigo_ckd_2024.md#血压与共病,authoritative_guidance,,,,,,,,,
401,disease:chronic_kidney_disease,care_action:kidney_function_recheck,requires_remeasurement,high,kdigo_ckd_2024.md#评估与复测,authoritative_guidance,,,,,,,,,
402,disease:chronic_kidney_disease,care_action:clinician_review,requires_clinician_review,high,kdigo_ckd_2024.md#老年人安全边界,authoritative_guidance,,,,,,,,,
406,population:frail_older_adults,intervention:low_to_moderate_activity,requires_clinician_review,high,who_physical_activity_2020.md#安全提醒,authoritative_guidance,,,,,,,,,
407,population:frail_older_adults,care_action:fall_risk_review,requires_medical_review,high,older_adult_safety.md#功能和虚弱,professional_guideline,,,,,,,,,
409,disease:diabetes,risk_factor:hypoglycemia,urgent_signal,high,older_adult_safety.md#低血糖与用药,professional_guideline,,,,,,,,,
410,risk_factor:hypoglycemia,care_action:clinician_review,requires_medical_review,high,older_adult_safety.md#低血糖与用药,professional_guideline,,,,,,,,,
411,risk_factor:polypharmacy,care_action:do_not_self_adjust_medication,do_not_self_adjust_medication,high,older_adult_safety.md#低血糖与用药,professional_guideline,,,,,,,,,
415,disease:frailty,risk_factor:fall_risk,has_risk_factor,high,elderly_frailty.md#安全行动,authoritative_guidance,,,,,,,,,
416,disease:frailty,care_action:fall_risk_review,requires_medical_review,high,elderly_frailty.md#安全行动,authoritative_guidance,,,,,,,,,
